Index,0 [0x7][0xc],1 [0x3][0x10],2 [0x19][0x12],3 [0x1a][0x12],4 [0x1b][0x12],5 [0x3][0x11],6 [0x9][0x4],7 [0x1c][0x12],8 [0x9][0x8],9 [0x0][0x0]
0,0,2,false,false,false,1,1.0,false,1.0,"0"
1,0,2,false,false,false,3,1.0,false,1.0,"0"
2,0,2,false,false,false,3,5.0,false,1.0,"누구 없어? 나 좀 도와줘!"
3,0,2,false,false,false,3,5.0,false,1.0,"조심해! 마물이 온다!"
4,0,2,false,false,false,3,5.0,false,1.0,"임프가 온다! 놓치지 마!"
5,0,2,false,false,false,3,5.0,false,1.0,"젠장, 적이 너무 많아!"
6,0,2,false,false,false,3,5.0,false,1.0,"마물이 코앞까지 다가왔어요!"
7,0,2,false,false,false,3,5.0,false,1.0,"실프족이 온다! 경계하라!"
8,0,2,false,false,false,3,5.0,false,1.0,"마물 수가 늘었어, 조심해!"
9,0,2,false,false,false,3,5.0,false,1.0,"이곳 안전은 우리가 지킨다!"
10,0,2,false,false,false,3,5.0,false,1.0,"도적놈들 코를 납작하게 만들자!"
11,0,2,false,false,false,3,5.0,false,1.0,"오포오포가 콩을 노리고 있어!"
12,0,2,false,false,false,3,5.0,false,1.0,"이크살족이 쳐들어왔다!"
13,0,2,false,false,false,3,5.0,false,1.0,"저건…… 지즈!?"
14,0,2,false,false,false,3,5.0,false,1.0,"또 나타났군!"
15,0,2,false,false,false,3,5.0,false,1.0,"마물들이 소란스럽군, 조심해라"
16,0,2,false,false,false,3,5.0,false,1.0,"큭…… 그걸 써야 하나……!"
17,0,2,false,false,false,3,5.0,false,1.0,"해치워라! 금강파쇄자!!"
18,0,2,false,false,false,3,5.0,false,1.0,"누가 우리 좀 도와주게나!"
19,0,2,false,false,false,3,5.0,false,1.0,"아무도 없나!? 날 도와다오!"
20,0,2,false,false,false,3,5.0,false,1.0,"으윽, 골렘이 너무 많아!"
21,0,2,false,false,false,3,5.0,false,1.0,"임프놈, 또 나타났군!"
22,0,2,false,false,false,3,5.0,false,1.0,"꽃이 또 엉망이야……"
23,0,2,false,false,false,3,5.0,false,1.0,"이크살족이 온다, 요격!"
24,0,2,false,false,false,3,5.0,false,1.0,"누, 누가 좀 도와줘!"
25,0,2,false,false,false,3,5.0,false,1.0,"자, 갑니다!"
26,0,2,false,false,false,2,5.0,false,1.0,"우오오~!"
27,0,2,false,false,false,2,5.0,false,1.0,"이놈이!"
28,0,2,false,false,false,2,5.0,false,1.0,"죽어라!"
29,0,2,false,false,false,2,5.0,false,1.0,"받아라앗!"
30,0,2,false,false,false,2,5.0,false,1.0,"아직 멀었어!"
31,0,2,false,false,false,2,5.0,false,1.0,"건방지다!"
32,0,2,false,false,false,2,5.0,false,1.0,"어떠냐!"
33,0,2,false,false,false,2,5.0,false,1.0,"이쯤이야!"
34,0,2,false,false,false,2,5.0,false,1.0,"얏호~~!!"
35,0,2,false,false,false,2,5.0,false,1.0,"으랏차차~!!"
36,0,2,false,false,false,2,5.0,false,1.0,"비켜, 쨔샤!"
37,0,2,false,false,false,2,5.0,false,1.0,"뭉개주마!!"
38,0,2,false,false,false,2,5.0,false,1.0,"놀아줄까?"
39,0,2,false,false,false,2,5.0,false,1.0,"상대가 필요한가?"
40,0,2,false,false,false,2,3.0,false,1.0,"무릎 꿇어라"
41,0,2,false,false,false,2,3.0,false,1.0,"더 멋진 목소리를 들려주렴"
42,0,2,false,false,false,2,3.0,false,1.0,"사양할 것 없어"
43,0,2,false,false,false,2,5.0,false,1.0,"우쭐거리지 마……!"
44,0,2,false,false,false,2,5.0,false,1.0,"자극적이군!"
45,0,2,false,false,false,2,3.0,false,1.0,"춤춰라!"
46,0,2,false,false,false,2,3.0,false,1.0,"원하는 게 이거야?"
47,0,2,false,false,false,2,3.0,false,1.0,"자, 받아라!"
48,0,2,false,false,false,2,5.0,false,1.0,"보복이라도 하겠다는 거냐!"
49,0,2,false,false,false,2,5.0,false,1.0,"젠장, 두, 두고 보자!"
50,0,2,false,false,false,2,5.0,false,1.0,"히히! 꼴좋다"
51,0,2,false,false,false,2,5.0,false,1.0,"으윽……하, 한 번만 봐줘"
52,0,2,false,false,false,2,3.0,false,1.0,"불만 있냐?"
53,0,2,false,false,false,2,3.0,false,1.0,"이 자식이!"
54,0,2,false,false,false,2,5.0,false,1.0,"해보잣치"
55,0,2,false,false,false,2,5.0,false,1.0,"간닷치"
56,0,2,false,false,false,2,5.0,false,1.0,"따끔한 맛을 보여주겠닷치"
57,0,2,false,false,false,2,5.0,false,1.0,"지지 않겠닷치"
58,0,2,false,false,false,3,5.0,false,1.0,"실력에 자신 있는 자는 없나!"
59,0,2,false,false,false,3,5.0,false,1.0,"이 자식들…… 살아 돌아갈 생각은 버려라!"
60,0,2,false,false,false,3,5.0,false,1.0,"자, 전력으로 덤벼라!"
61,0,2,false,false,false,3,5.0,false,1.0,"음, 잘했다……!"
62,0,2,false,false,false,3,5.0,false,1.0,"젠장, 수가 너무 많아!"
63,0,2,false,false,false,3,5.0,false,1.0,"밀렵꾼! 용서하지 않겠다!"
64,0,2,false,false,false,3,5.0,false,1.0,"모험가 주제에 잘난 척 하지 말라고"
65,0,2,false,false,false,3,5.0,false,1.0,"비, 빌어먹을, 이대로는……"
66,0,2,false,false,false,3,5.0,false,1.0,"너희 뭐냐 가까이 오지 마라~"
67,0,2,false,false,false,3,3.0,false,1.0,"던져라 폭탄 저리로 던져라"
68,0,2,false,false,false,3,3.0,false,1.0,"폭발 폭발 대폭발이다~"
69,0,2,false,false,false,3,3.0,false,1.0,"쾅야 쾅야 대폭발이다~"
70,0,2,false,false,false,3,5.0,false,1.0,"성이 무너졌다 우리 성~"
71,0,2,false,false,false,3,5.0,false,1.0,"다가오는 놈은 날려버린다~"
72,0,2,false,false,false,3,3.0,false,1.0,"던진다 폭탄 저리로 던진다"
73,0,2,false,false,false,3,3.0,false,1.0,"폭탄 폭탄 대폭발이다~"
74,0,2,false,false,false,3,3.0,false,1.0,"폭발 폭발 대폭발이다~"
75,0,2,false,false,false,3,5.0,false,1.0,"으아아 성이 무너졌다 우리 성~"
76,0,2,false,false,false,3,5.0,false,1.0,"으아아 성이 또 무너졌다~"
77,0,2,false,false,false,3,5.0,false,1.0,"여기는 우리 성이다~"
78,0,2,false,false,false,3,5.0,false,1.0,"너희들 다 날려버리겠다~"
79,0,2,false,false,false,3,5.0,false,1.0,"아야 아프다 잠깐만"
80,0,2,false,false,false,3,3.0,false,1.0,"폭탄 휙휙 휘리리리릭"
81,0,2,false,false,false,3,3.0,false,1.0,"폭발 폭발 초폭발이다~"
82,0,2,false,false,false,3,3.0,false,1.0,"투쾅 투쾅 초폭발이다~"
83,0,2,false,false,false,3,5.0,false,1.0,"모두 날 따르랏치!"
84,0,2,false,false,false,3,5.0,false,1.0,"이제 진짜 실력을 보여주겠닷치!"
85,0,2,false,false,false,3,5.0,false,1.0,"지금부터는 진짜로 각오해랏치!"
86,0,2,false,false,false,3,5.0,false,1.0,"지, 진짜로 내 실력을 발휘하겠닷치!"
87,0,2,false,false,false,3,3.0,false,1.0,"커얼발톱 니임!"
88,0,2,false,false,false,2,3.0,false,1.0,"찌그러져 있어!"
